Question Number,File Name,Emotion Tags,Descriptor Tags
36,245389-spring_ThunderTube-04.wav,"['ominous', 'timid', 'exploratory', 'curious']","['echoing', 'metallic', 'reverberant', 'toy', 'thunder', 'machine', 'tinny', 'tonal']"
37,246330-MAFX002_Backpack_small_coil_zipper_-normal_speed_zips.wav,"['anxious', 'accidental', 'unconscious', 'impatient', 'uncomfortable']","['rubbery', 'organic', 'strident', 'zipping', 'unzipping', 'rubber-manipulation', 'buzzing', 'aggressive', 'scratchy']"
38,246680-TrainVeryDistantRain01.wav,"['confused', 'homey', 'nostalgic', 'old-school', 'rain-and-choochoo', 'romantic', 'mysterious', 'anticipation']","['ambience', 'rain', 'heavy-slap', 'distant-train', 'wood-cracking', 'anthro', 'natural', 'mechanistic', 'naturalistic', 'filmic', 'comfortable-familiarity']"
39,253384-pool_splash_4.wav,"['nature', 'peace', 'comfort', 'relaxing']","['kerplop', 'rounded', 'punctual', 'nature']"
40,259034-KAIB-WATR-MED-Light_Water_Movement_Below_Surface_High_Pitch-000825.wav,"['comfortable', 'welcoming', 'calming', 'gentle', 'watery']","['sloshy', 'wet', 'deep', 'liquid', 'moist', 'shallow', 'safe']"
41,259780-Firework_Spin-Helicopter_Spinner-Sputter-ST.wav,"['fast', 'movement', 'rush', 'unknown', 'danger', 'release', 'freeing', 'spinning']","['swirly', 'whooshy', 'spike', 'fluctuation', 'phasing', 'airy', 'fast', 'motorized']"
42,264372-EFX_INT_Bacon_Frying_Gas_Griddle_03_B.wav,['hungry'],"['sizzling', 'frying']"
43,267074-wind_down_chimney.wav,"['open', 'desolate']","['windy', 'stormy']"
44,270970-Water-11-City-Rain-Roof-T05.wav,"['settling', 'pleasant']","['serene', 'pattering']"
45,273532-Death-Game-Over-1.wav,"['chaotic', 'jarring', 'worried', 'abrupt', 'melancholy']","['descending', 'synthetic', 'harsh', 'brassy', 'string-like', 'percussive']"
46,273654-Negative-Live-Lost.wav,"['playful', 'pleasant', 'strange']","['young', 'chirpy', 'skittering', 'pitchy', 'uplifting', 'synthetic']"
47,275298-Game-Soft-Short-Blood-Spill.wav,['happy'],['lovely']
48,275801-Breaking_Glass_10-Window.wav,"['disturbing', 'alarming']","['tinkling', 'harsh']"
49,276361-25.wav,"['mysterious', 'ominous', 'otherworldly', 'scary', 'open', 'painful']","['distant', 'tonal', 'vocal', 'approaching', 'paranormal', 'eerie', 'expansive', 'inclusive', 'light']"
50,28602-Male1-Hurt4.wav,"['alarmed', 'shock', 'awe']","['jerk', 'human', 'round']"
51,289304-International_basketball_game_-referee_whistle-crowd_walla-light_clapping (1).wav,"['indifferent', 'determined', 'encouraging', 'focussed', 'exciting', 'swift', 'cringe']","['ambience', 'sports', 'crowd', 'interior', 'whistle', 'applause', 'voices', 'shrill', 'echoey', 'human', 'busy', 'hard', 'bouncy', 'spatial', 'exciting', 'alarming']"
52,289947-HOT_BALL_BEARING_-Syrup_-Small_Bubbling-Boil-Viscous-Thick_bubble-D100.wav,"['bored', 'unconscious', 'under-stimulating', 'gross', 'reliable', 'angry']","['bubbling', 'consistent', 'liquid', 'bubbly', 'ugly']"
53,300107-SYMBOL-WIN-REVEAL-TRIGGER-02-Sounds-of-China.wav,['gross'],['natural']
54,307480-PM-BlurryDreams-06.wav,['inspired'],['orchestral']
55,313789-Vintage-Dot-Matrix-Printer-Long-Burst_04.wav,"['painful', 'uncomfortable', 'distressing', 'annoying', 'hopeful']","['intrusive', 'aggressive', 'sharp', 'whiney', 'bright']"
56,323611-Soda_can_pops_and_opening_-created_with_granular_spatialization_-harsh_air_release-.wav,"['busy', 'painful', 'high', 'acute']","['popping', 'swish', 'machine']"
57,324614-Baby_Infant_Talking_Vocalizations_Happy_Then_Cranky-01.wav,"['funny', 'touching', 'calm', 'happy', 'hectic']","['gurgly', 'vocal', 'quiet', 'cute', 'orderly']"
58,333615-SFX_Fire_torch_burn_whoosh_with_crackling.wav,['soft'],['harmless']
59,338671-Northland_bush_Tui_bird_croaking.wav,"['peaceful', 'relaxing', 'ripping']","['nature-inspired', 'forest-birds', 'hateful']"
60,344829-Steamengine_LOOP_REAL_coal_slow_pumping_and_thumping_01_heavy_thuds-OTFA.wav,"['cheerful', 'busy', 'industrious', 'sexy', 'agitated', 'peaceful']","['relentless', 'mechanical', 'ticking', 'impact', 'wheezy', 'rhythmic', 'monotonous', 'natural']"
61,361780-SirenClose25Loopable,"['panic', 'alarmed']","['assaulting', 'police', 'siren', 'ambulance']"
62,372351-38_Bull_Bird-Roar_Sequence-No_Background-Fog_Forest-1.wav,"['alarm', 'scare', 'angry', 'intriguing', 'unnerving']","['robotic', 'synthetic', 'cycle', 'repetitive', 'enticing', 'wild', 'scraping']"
63,380420-Meridian-ASMR-loop-scratching-wirebrush-wood-slow-irregular-thin-grating-mono.wav,"['tense', 'agitated', 'spooky']","['grinding', 'scrapy', 'creepy']"
64,389984-Party-Pack-Oidz-Magnet-Sizzling-Very-Short-06.wav,"['irritating', 'surprising', 'light', 'energizing', 'tense']","['collision', 'sparking', 'bright', 'metallic', 'tiny', 'electric', 'bracing']"
65,397443-EW-foliage-WillowOak-leaves-small-thin-rustle-bold-shift-trudge.wav,"['relaxing', 'deliberate', 'annoying']","['fuzzy', 'rustle', 'playful']"
66,398323-DEBRIS_STONE_CONCRETE_ceramics_tile_smash_1_ext.wav,"['loose', 'carefree', 'upset']","['broken', 'hard-surface']"
67,398638-AMBIENCE_-Storm_Ciara_-Coming_to_a_rest-01.wav,"['excited', 'mulled']","['powerful', 'kind']"
68,404281-SUBMARINE_-Isolated_Sonar_Bleep_Signal_-Loop_004318_.wav,"['inquisitive', 'mysterious', 'immersed', 'alert', 'cautious', 'suspense', 'exciting']","['tonal', 'repetitive', 'loopable', 'synthetic', 'loop', 'bright', 'forceful']"
69,413886-Robotic_Lifeforms_2_-Whooshes_-Alien_Chopping_Passby_04.wav,"['alert', 'artificial', 'edgy', 'empty']","['conversational', 'hollow', 'tripping', 'manufactured', 'patterny', 'interstellar']"
70,41829-FOLEY_FOOTSTEPS_HAY_CEMENT_DEBRIS_RUN_STOP_RUN_01.wav,"['urgent', 'clunky', 'clumsy', 'rushed', 'proximate', 'quick']","['blunt', 'percussive', 'skillful']"
71,87137-Sneaker_footsteps_on_snow_walk_crunch-BLASTWAVEFX-23701.wav,"['unsettling', 'brutal']","['crunchy', 'coarse']"
72,438564-Bullet-Cartoon-Ricochet-Whiz-Whine-Dramatic.wav,[],[]
73,441936-Leather_Horse_Saddle_Mvmnt-03.wav,"['chaotic', 'unsettling', 'satisfying', 'claustrophobic', 'close']","['fragmented', 'falling', 'small', 'enclosed', 'muted', 'crisp', 'thin']"
74,450682-Finger_Snap-Male-Strong-x2-Medium_Distant-XY_Stereo.wav,"['impatient', 'anticipation', 'papery', 'textural', 'crackle', 'playful']","['short', 'transient', 'roomy', 'rythm', 'crinkle']"
75,453001-Clock_Radio-Acculogic-ACR1101-03-Alarm-Beep-Transition-Uncovered_to_Covered-MS_Decoded-MKH_8050-31.wav,"['conversational', 'positive', 'upbeat']",['snap']
76,466643-Whistle_8.wav,"['peaceful', 'curious', 'worried', 'regal', 'harmonious', 'dignified', 'courtly', 'synthesized', 'awful']","['soft', 'layered', 'breathy', 'sustained', 'renaissancey', 'airy', 'round', 'aspirational', 'suspended', 'awful']"
77,467388-Queetsh-ForkOnPlate-VeryHighShortGrainySlideFeep-contact-192kHz.wav,"['abrasive', 'on-edge', 'intrigued']","['abrasive', 'feedback', 'speaker-futz', 'ominous']"
78,46848-ANIMAL_CHICKEN_CLUCK_BARK_01.wav,"['surprised', 'amused', 'funny', 'irritating']","['rooster-call', 'strong', 'boisterous', 'interior', 'bright', 'annoying']"
79,469378-Source-Metal-Sheet-Rattle-Resonate.wav,"['agitated', 'falling', 'running-from', 'loud']","['thunder-like', 'crashy', 'timpanic']"
80,470886-Crushing_Small_Paper_Bag_2,['sudden'],"['ending', 'concluding']"
