word	Question
brutal	71
satisfying	73
claustrophobic	73
close	73
papery	74
textural	74
crackle	74
conversational	75
positive	75
upbeat	75
regal	76
harmonious	76
dignified	76
courtly	76
synthesized	76
awful	76
intrigued	77
surprised	78
amused	78
falling	79
loud	79
sudden	80
probing	81
questioning	81
dynamic	82
neurotic	83
agitating	83
stimulating	83
enervating	83
irksome	83
jangling	83
comedic	84
tight	84
pleasent	85
energetic	85
hollow	85
elastic	85
jelly	85
alerting	86
spontaneous	86
breezy	87
comforting	88
rhythmic	88
smooth	88
chill	89
tranquil	90
warmth	90
brash	90
ardent	91
assertive	91
twinkly	92
alleviating	92
refreshing	92
joyful	92
proud	92
depth	93
radar	93
tone	93
warning	93
esoteric	94
unidentifiable	94
dizzy	94
gravity	94
confusing	95
overwhelmed	95
alerted	95
mystified	96
delighted	96
saccharine	96
unwelcome	96
nerdy	97
wonderment	97
horrific	98
steadiness	99
pause	99
mystic	100
